ID,Status,Paper_Type,Title,Authors,Year,Venue,DOI,Database_Source,Dataset,Subjects,Channels,Emotion_Model,Label_Type,Classes_or_Dimensions,Stimulus_Type,Preprocessing,Feature_Type,Features,Model_Category,Model_Name,Training_Setup,Evaluation_Setting,Metrics,Best_Result,Code_Available,Main_Contribution,Limitations,Notes,
1,Core,Review,"A comprehensive review of deep learning in EEG-based emotion recognition: classifications, trends, and practical implications",Weizhi Ma; Yujia Zheng; Tianhao Li; Zhengping Li; Ying Li; Lijun Wang,2024,PeerJ Computer Science,10.7717/peerj-cs.2065,PubMed; PMC,,,,,,,,,,Deep Learning Review,,,Review,not applicable,,,"Provides a recent DL-focused review of EEG emotion recognition with emphasis on model categories, research trends, and practical issues.",Need full-text extraction for exact dataset coverage and taxonomy details.,Useful for positioning your paper against DL-only reviews.,,
2,Core,Review,EEG-based emotion recognition systems; comprehensive study,Hussein Ali Hamzah; Kasim K Abdalla,2024,Heliyon,10.1016/j.heliyon.2024.e31485,PubMed; ScienceDirect,,,,,,,,,time-domain; frequency-domain; time-frequency; nonlinear,Review of classical and DL methods,,,Review,not applicable,,,"Reviews EEG emotion recognition systems from feature extraction and pattern-recognition perspectives, with explicit attention to DL methods.",Less explicit about systematic-review protocol than PRISMA-oriented papers.,Good source for background on feature categories and system pipeline.,,
3,Core,Review,A review on EEG-based multimodal learning for emotion recognition,Rajasekhar Pillalamarri; Udhayakumar Shanmugam,2025,Artificial Intelligence Review,10.1007/s10462-025-11126-9,Springer,,,,,,,,,,Multimodal fusion review,,,Review,not applicable,,,"Covers EEG-centered multimodal emotion recognition, fusion strategies, modality representation, and classification schemes from 2017 to 2024.","Scope is multimodal rather than EEG-only, so it should be cited as an adjacent review rather than a direct baseline.",Useful if your introduction or future-work section discusses multimodal affective BCI.,,
4,Core,Review,"Emotion recognition in EEG Signals: Deep and machine learning approaches, challenges, and future directions",,2025,Computers in Biology and Medicine,10.1016/j.compbiomed.2025.110713,ScienceDirect,,,,,,,,,,ML and DL review,,,Review,not applicable,,,"Directly aligns with your topic by focusing on ML and DL methods, related challenges, and future directions in EEG emotion recognition.",Need full author metadata and full-text extraction for detailed categorization.,High topical overlap; important related-work paper for framing novelty.,,
5,Core,Review,"A Review of Deep Learning Techniques for EEG-Based Emotion Recognition: Models, Methods, and Datasets",P Sreehari; U Raghavendra; Anjan Gudigar,2025,F1000Research,10.12688/f1000research.171170.1,PubMed; PMC,public EEG emotion-recognition datasets,,,discrete and dimensional labels,reviewed across included studies,,,,,Deep Learning Systematic Review,,2020-2025 literature coverage,PRISMA-oriented review,accuracy and related study-reported metrics,,,"Systematic review following PRISMA; reports 233 included articles and explicitly organizes DL approaches, datasets, and evaluation strategies.",Needs careful use because it is very recent and review-specific conclusions should be checked against source studies when cited in depth.,Strong anchor for related-work section and methodology benchmarking.,,
6,Core,Review,Machine learning techniques to classify emotions from electroencephalogram topographic maps: A systematic review,Marla P Melo; Diana F Adamatti; Marilton S Aguiar,2025,Computers in Biology and Medicine,10.1016/j.compbiomed.2025.111022,PubMed; ScienceDirect,EEG topographic map studies,14 included publications,,discrete and dimensional labels,reviewed across included studies,,,,EEG topographic map conversion methods,ML and DL methods on ETM inputs,,up to July 2025 literature,PRISMA-oriented systematic review,classification accuracy and study-reported metrics,,,"Maps the state of the art for emotion recognition from EEG topographic maps, including datasets, ETM conversion methods, and subject-dependent versus subject-independent settings.",Narrow scope focused on EEG topographic-map representations rather than the full EEG emotion-recognition landscape.,Useful as a focused subsection reference if you discuss image-based EEG representations.,,
7,Core,Review,Deep Learning-Based EEG Emotion Recognition: A Review,Yunyang Liu; Wenbo Xue; Long Yang; Mengmeng Li,2025,Brain Sciences,10.3390/brainsci16010041,PubMed; PMC; MDPI,,,,,,,,,attention mechanisms; transfer learning; commonality-individuality framing,Deep Learning Review,,,Review,not applicable,,,Summarizes DL architectures for EEG emotion recognition and adds a commonality-individuality framing for discussing model design and generalization.,Very recent paper; claims about field gaps should be cross-checked against other 2024-2025 reviews.,Useful for future-directions and subject-independent generalization discussion.,,
8,Background,Review,Emotion recognition with EEG-based brain-computer interfaces: a systematic literature review,Kubra Erat; Elif Bilge Sahin; Furkan Dogan; Nur Merdanoglu; Ahmet Akcakaya; Pinar Onay Durdu,2024,Multimedia Tools and Applications,10.1007/s11042-024-18259-z,Springer,216 reviewed articles,,,,,,,,,,Systematic BCI review,,2016-2020 literature coverage,Systematic literature review,study-reported performance evaluation metrics,,,"Provides a broad systematic review of EEG-based BCI emotion-recognition systems covering acquisition, preprocessing, features, classification, and evaluation.","Published on 2024-03-01, which is slightly outside a strict 2-year window counted from 2026-03-26.",Important background review because it is explicitly BCI-centered and highly aligned conceptually with your topic.,
9,Screened,Original Research,Multi-source Selective Graph Domain Adaptation Network for cross-subject EEG emotion recognition,Jing Wang; Xiaojun Ning; Wei Xu; Yunze Li; Ziyu Jia; Youfang Lin,2024,Neural Networks,10.1016/j.neunet.2024.106742,PubMed,cross-subject EEG emotion datasets,,,,emotion recognition,cross-subject,,,,,Graph domain adaptation,MSGDAN,cross-subject,subject-independent,study-reported classification metrics,,,Targets subject-invariant representation learning and multi-source fusion for cross-subject EEG emotion recognition.,"Need full-text extraction for exact datasets, metrics, and preprocessing.",High-priority original study because cross-subject generalization is a major review axis.,
10,Screened,Original Research,A temporal-spectral graph convolutional neural network model for EEG emotion recognition within and across subjects,Rui Li; Xuanwen Yang; Jun Lou; Junsong Zhang,2024,Brain Informatics,10.1186/s40708-024-00242-x,PubMed; PMC,EEG emotion datasets,,,,emotion recognition,within-subject and cross-subject,,,,,Graph neural network,TSGCN,within-subject and cross-subject,subject-dependent and subject-independent,study-reported classification metrics,,,"Proposes a temporal-spectral GCN to jointly model time, frequency, and spatial relations in EEG emotion recognition.",Need full-text extraction for detailed benchmark setting and comparative results.,Useful for comparing graph-based architectures across evaluation settings.,
11,Screened,Original Research,EEG-based emotion recognition using graph convolutional neural network with dual attention mechanism,Wei Chen; Yuan Liao; Rui Dai; Yuanlin Dong; Liya Huang,2024,Frontiers in Computational Neuroscience,10.3389/fncom.2024.1416494,PubMed; PMC,EEG emotion datasets,,,,emotion recognition,,,,,,Graph neural network with attention,dual-attention GCN,,study-reported setting,study-reported classification metrics,,,Uses graph convolution with dual attention to improve emotion-relevant spatial representation.,Need exact datasets and protocol details from the paper.,Representative 2024 graph-attention paper.,
12,Screened,Original Research,Graph Convolutional Network With Connectivity Uncertainty for EEG-Based Emotion Recognition,Hongxiang Gao; Xingyao Wang; Zhenghua Chen; Min Wu; Zhipeng Cai; Lulu Zhao; Jianqing Li; Chengyu Liu,2024,IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2024.3416944,PubMed,EEG emotion datasets,,,,emotion recognition,,,,,,Graph neural network,GCN with connectivity uncertainty,,study-reported setting,study-reported classification metrics,,,Focuses on ambiguous topological information and connectivity uncertainty in EEG channel relationships.,Need full-text extraction for evaluation setup and performance.,Useful for the subsection on uncertainty-aware graph modeling.,
